GameID,HomeTeam,AwayTeam,Game,StartDate,Moneyline Pick,Moneyline Conf,Spread Pick,Spread Conf,Total Pick,Total Conf,Pick_Team,Pick_Line,Pick_Side,Pick_Total,Pick_ML_Odds,Manual_HomeScore,Manual_AwayScore,Spread_Result,ML_Result,Total_Result
401756846,Kansas State,Iowa State,Iowa State @ Kansas State,2025-08-23T16:00:00.000Z,Kansas State,N/A,Iowa State (2.5),50.9%,OVER 51.5,54.4%,Iowa State,2.5,OVER,51.5,-145.0,21,24,WIN,LOSS,LOSS
401767476,Nicholls,Incarnate Word,Incarnate Word @ Nicholls,2025-08-23T17:00:00.000Z,Incarnate Word,N/A,Nicholls (13.5),54.4%,UNDER 51.5,58.4%,Nicholls,13.5,UNDER,51.5,350.0,20,6,WIN,LOSS,WIN
401760371,UNLV,Idaho State,Idaho State @ UNLV,2025-08-23T20:00:00.000Z,UNLV,N/A,Idaho State (30.5),54.9%,UNDER 67.0,52.5%,Idaho State,30.5,UNDER,67.0,-3500.0,38,31,WIN,WIN,LOSS
401767126,Portland State,Tarleton State,Tarleton State @ Portland State,2025-08-23T20:30:00.000Z,Tarleton State,N/A,Tarleton State (-17.5),51.6%,UNDER 60.5,53.0%,Tarleton State,-17.5,UNDER,60.5,-850.0,0,42,WIN,WIN,WIN
401756847,Kansas,Fresno State,Fresno State @ Kansas,2025-08-23T22:30:00.000Z,Kansas,N/A,Fresno State (14.0),50.7%,OVER 51.5,50.4%,Fresno State,14.0,OVER,51.5,-550.0,31,7,LOSS,WIN,LOSS
401757218,Western Kentucky,Sam Houston,Sam Houston @ Western Kentucky,2025-08-23T23:00:00.000Z,Western Kentucky,N/A,Western Kentucky (-9.5),51.6%,UNDER 60.5,55.7%,Western Kentucky,-9.5,UNDER,60.5,-360.0,41,24,WIN,WIN,LOSS
401767410,Southern,North Carolina Central,North Carolina Central @ Southern,2025-08-23T23:30:00.000Z,North Carolina Central,N/A,North Carolina Central (-10.5),61.7%,UNDER 47.5,55.3%,North Carolina Central,-10.5,UNDER,47.5,,14,31,WIN,WIN,WIN
401754516,Hawai'i,Stanford,Stanford @ Hawai'i,2025-08-23T23:30:00.000Z,Stanford,N/A,Stanford (1.5),53.2%,OVER 53.5,53.0%,Stanford,1.5,OVER,53.5,-102.0,23,20,LOSS,LOSS,LOSS
401762522,South Florida,Boise State,Boise State @ South Florida,2025-08-28T21:30:00.000Z,South Florida,N/A,South Florida (8.5),57.1%,OVER 63.5,50.4%,South Florida,8.5,OVER,63.5,250.0,34,7,WIN,WIN,LOSS
401762790,Bowling Green,Lafayette,Lafayette @ Bowling Green,2025-08-28T22:00:00.000Z,Bowling Green,N/A,Lafayette (21.0),50.4%,UNDER 53.0,51.5%,Lafayette,21.0,UNDER,53.0,-1300.0,26,7,WIN,WIN,WIN
401752794,Rutgers,Ohio,Ohio @ Rutgers,2025-08-28T22:00:00.000Z,Rutgers,N/A,Rutgers (-11.5),50.0%,UNDER 46.5,52.8%,Rutgers,-11.5,UNDER,46.5,-455.0,34,31,LOSS,WIN,LOSS
401767549,Youngstown State,Mercyhurst,Mercyhurst @ Youngstown State,2025-08-28T22:00:00.000Z,Youngstown State,N/A,Mercyhurst (24.0),50.3%,OVER 59.5,52.5%,Mercyhurst,24.0,OVER,59.5,,24,15,WIN,WIN,LOSS
401757219,Delaware,Delaware State,Delaware State @ Delaware,2025-08-28T23:00:00.000Z,Delaware,N/A,Delaware (-30.5),52.5%,OVER 55.5,52.9%,Delaware,-30.5,OVER,55.5,,35,17,LOSS,WIN,LOSS
401761588,UL Monroe,St. Francis (PA),St. Francis (PA) @ UL Monroe,2025-08-28T23:00:00.000Z,UL Monroe,N/A,UL Monroe (-31.0),56.7%,OVER 47.0,53.5%,UL Monroe,-31.0,OVER,47.0,-3500.0,29,0,LOSS,WIN,LOSS
401767327,Norfolk State,Towson,Towson @ Norfolk State,2025-08-28T23:00:00.000Z,Towson,N/A,Norfolk State (8.5),50.8%,UNDER 49.5,57.0%,Norfolk State,8.5,UNDER,49.5,,7,27,LOSS,WIN,WIN
401767171,Eastern Illinois,Dayton,Dayton @ Eastern Illinois,2025-08-28T23:00:00.000Z,Eastern Illinois,N/A,Dayton (9.5),62.0%,UNDER 47.5,60.9%,Dayton,9.5,UNDER,47.5,,24,14,LOSS,WIN,WIN
401767209,St. Thomas (MN),Lindenwood,Lindenwood @ St. Thomas (MN),2025-08-28T23:00:00.000Z,Lindenwood,N/A,St. Thomas (MN) (6.5),57.1%,UNDER 51.5,57.4%,St. Thomas (MN),6.5,UNDER,51.5,,35,13,WIN,LOSS,WIN
401762789,Akron,Wyoming,Wyoming @ Akron,2025-08-28T23:00:00.000Z,Wyoming,N/A,Akron (8.5),60.6%,OVER 49.5,52.4%,Akron,8.5,OVER,49.5,-325.0,0,10,LOSS,WIN,LOSS
401756848,UCF,Jacksonville State,Jacksonville State @ UCF,2025-08-28T23:00:00.000Z,UCF,N/A,Jacksonville State (16.5),51.9%,UNDER 53.5,50.9%,Jacksonville State,16.5,UNDER,53.5,-750.0,17,10,WIN,WIN,WIN
401754373,NC State,East Carolina,East Carolina @ NC State,2025-08-28T23:00:00.000Z,NC State,N/A,East Carolina (12.5),56.5%,UNDER 58.5,51.4%,East Carolina,12.5,UNDER,58.5,-440.0,24,17,WIN,WIN,WIN
401767298,Samford,West Georgia,West Georgia @ Samford,2025-08-28T23:30:00.000Z,West Georgia,N/A,West Georgia (6.5),64.5%,UNDER 55.5,54.3%,West Georgia,6.5,UNDER,55.5,,3,34,WIN,WIN,WIN
401756876,Oklahoma State,UT Martin,UT Martin @ Oklahoma State,2025-08-28T23:30:00.000Z,Oklahoma State,N/A,Oklahoma State (-26.0),51.1%,UNDER 56.5,52.3%,Oklahoma State,-26.0,UNDER,56.5,-1300.0,27,7,LOSS,WIN,WIN
401754517,Duke,Elon,Elon @ Duke,2025-08-28T23:30:00.000Z,Duke,N/A,Duke (-36.5),56.6%,OVER 51.5,51.1%,Duke,-36.5,OVER,51.5,,45,17,LOSS,WIN,WIN
401752674,Missouri,Central Arkansas,Central Arkansas @ Missouri,2025-08-28T23:30:00.000Z,Missouri,N/A,Missouri (-38.5),62.0%,OVER 52.5,51.3%,Missouri,-38.5,OVER,52.5,,61,6,WIN,WIN,WIN
401756852,Houston,Stephen F. Austin,Stephen F. Austin @ Houston,2025-08-29T00:00:00.000Z,Houston,N/A,Houston (-24.5),52.8%,UNDER 54.5,52.8%,Houston,-24.5,UNDER,54.5,-2200.0,27,0,WIN,WIN,WIN
401767369,Northwestern State,Alcorn State,Alcorn State @ Northwestern State,2025-08-29T00:00:00.000Z,Alcorn State,N/A,Northwestern State (10.5),60.2%,UNDER 49.5,56.3%,Northwestern State,10.5,UNDER,49.5,,20,10,WIN,LOSS,WIN
401752793,Minnesota,Buffalo,Buffalo @ Minnesota,2025-08-29T00:00:00.000Z,Minnesota,N/A,Buffalo (16.5),50.1%,UNDER 45.5,50.2%,Buffalo,16.5,UNDER,45.5,-900.0,23,10,WIN,WIN,WIN
401762430,UAB,Alabama State,Alabama State @ UAB,2025-08-29T00:30:00.000Z,UAB,N/A,Alabama State (21.0),52.9%,UNDER 53.5,51.5%,Alabama State,21.0,UNDER,53.5,-1200.0,52,42,WIN,WIN,LOSS
401762791,Wisconsin,Miami (OH),Miami (OH) @ Wisconsin,2025-08-29T01:00:00.000Z,Wisconsin,N/A,Miami (OH) (17.5),52.9%,OVER 40.5,62.4%,Miami (OH),17.5,OVER,40.5,-1100.0,17,0,WIN,WIN,LOSS
401752796,Cincinnati,Nebraska,Nebraska @ Cincinnati,2025-08-29T01:00:00.000Z,Nebraska,N/A,Cincinnati (6.5),52.3%,UNDER 52.5,54.1%,Cincinnati,6.5,UNDER,52.5,-270.0,17,20,WIN,WIN,WIN
401760357,San Diego State,Stony Brook,Stony Brook @ San Diego State,2025-08-29T02:00:00.000Z,San Diego State,N/A,San Diego State (-19.5),53.4%,OVER 53.5,50.1%,San Diego State,-19.5,OVER,53.5,-1000.0,42,0,WIN,WIN,LOSS
401767140,Rhode Island,Campbell,Campbell @ Rhode Island,2025-08-29T22:00:00.000Z,Rhode Island,N/A,Rhode Island (-11.5),55.5%,UNDER 56.5,53.9%,Rhode Island,-11.5,UNDER,56.5,,31,20,LOSS,WIN,WIN
401762432,Army,Tarleton State,Tarleton State @ Army,2025-08-29T22:00:00.000Z,Army,N/A,Tarleton State (14.5),50.4%,UNDER 47.5,51.2%,Tarleton State,14.5,UNDER,47.5,-600.0,27,30,WIN,LOSS,LOSS
401766898,Florida International,Bethune-Cookman,Bethune-Cookman @ Florida International,2025-08-29T23:00:00.000Z,Florida International,N/A,Florida International (-26.5),52.9%,OVER 54.5,51.1%,Florida International,-26.5,OVER,54.5,-5000.0,42,9,WIN,WIN,LOSS
