team,conference,offense.ppa,offense.successRate,offense.explosiveness,defense.ppa,defense.successRate,defense.explosiveness
Miami,ACC,0.4059188102391107,0.5194805194805194,1.3550094048231998,0.13786233134444711,0.3728395061728395,1.452780352908357
Ohio State,Big Ten,0.3760098451145467,0.4954499494438827,1.3385011350689109,-0.010420833810419857,0.35208333333333336,1.180279534074813
Ole Miss,SEC,0.3555874960720487,0.4897739504843918,1.3582642198992039,0.011741587697649106,0.34263392857142855,1.3007360744960605
South Alabama,Sun Belt,0.34120000033571707,0.4993924665856622,1.2583704996552334,0.13122848587259864,0.4103448275862069,1.2565044273146349
Boise State,Mountain West,0.33138292700534483,0.4760914760914761,1.2999354081795305,0.15696819650969787,0.38324022346368714,1.4311720134746941
Indiana,Big Ten,0.324062865356398,0.5159386068476978,1.2435289299233259,0.03549728928867933,0.36114732724902215,1.1637761522396501
Kansas,Big 12,0.3127873184348474,0.4861294583883752,1.259734498237857,0.22077259555723455,0.4487678339818418,1.2981749886742833
Oregon,Big Ten,0.30599990195953714,0.49420442571127504,1.2076941252667344,0.11072571311367631,0.3824561403508772,1.2476817820055577
Army,American Athletic,0.30411644058512827,0.5033632286995515,1.0661260198939544,0.12455595113564498,0.43159203980099503,1.1901395509182966
New Mexico,Mountain West,0.30338572807169506,0.4831168831168831,1.2439390160771275,0.3417937532271161,0.5050377833753149,1.2675411197099897
Penn State,Big Ten,0.3031377102789347,0.5,1.2015589517520466,0.04662904739200842,0.37749003984063745,1.2535407212990313
Missouri State,Conference USA,0.300977508101336,0.45953360768175583,1.4160587626506962,0.2659275177097801,0.44689119170984454,1.3344224390871406
Notre Dame,FBS Independents,0.2990333724391464,0.4577114427860697,1.2890000804320347,0.009343425240474056,0.3758519961051607,1.107634255290714
Louisville,ACC,0.298001961398807,0.4583333333333333,1.361947715924828,0.14404668256063186,0.3956916099773243,1.327750842988475
Tulane,American Athletic,0.29691558485628566,0.46846846846846846,1.276847950748942,0.05492511651502953,0.3716295427901524,1.2640818473610673
Washington State,Pac-12,0.29666447865326717,0.4812646370023419,1.346101280365984,0.21125833365696542,0.4506578947368421,1.297901250332918
Arizona State,Big 12,0.2891178925164467,0.47689075630252103,1.2459139219276343,0.11289145210537721,0.41294642857142855,1.260595573479775
Louisiana,Sun Belt,0.286036925533786,0.4444444444444444,1.3059962417529143,0.20186957602009287,0.47333333333333333,1.0993359846715263
Jacksonville State,Conference USA,0.28569392707723784,0.45560253699788583,1.3413718562009809,0.14205750387461868,0.4307692307692308,1.1947718482542515
Kansas State,Big 12,0.28408340478141836,0.4362336114421931,1.37222304783103,0.08898273529956426,0.3588516746411483,1.41655425414322
Arkansas,SEC,0.2817213545035338,0.4916573971078977,1.2768910136451528,0.12770207563880895,0.4121004566210046,1.1974332705261501
TCU,Big 12,0.2770910471083128,0.46583143507972663,1.2918712687796428,0.17063202411010772,0.40492170022371365,1.2285655367534443
Memphis,American Athletic,0.26936730033880146,0.4369565217391304,1.3399305884221764,0.16997148037748305,0.39486552567237165,1.4104463850320021
Navy,American Athletic,0.2603778730849441,0.42633637548891784,1.3423062025002694,0.11347945464745143,0.41309255079006774,1.195350024646208
Texas State,Sun Belt,0.2591078457916448,0.4783526927138332,1.2178913520625165,0.1129043607710139,0.37354988399071926,1.3914939541782914
Clemson,ACC,0.25097392376135536,0.46292585170340683,1.2502632427410763,0.13349810858147168,0.4036208732694356,1.3423989635688816
Alabama,SEC,0.2442450064852975,0.4585308056872038,1.3053765692140382,0.02714089683173836,0.36095346197502837,1.1971261826469255
Texas Tech,Big 12,0.24378295055602867,0.44044044044044045,1.3167643356065708,0.23282360930071158,0.43373493975903615,1.4052596893504699
Syracuse,ACC,0.2408317979449385,0.47681451612903225,1.279023475186908,0.22803828836034398,0.43350383631713557,1.309628210672468
Georgia Tech,ACC,0.2407433775341111,0.4574944071588367,1.2402317469529198,0.152489554582493,0.41466498103666244,1.2815568183401795
Western Michigan,Mid-American,0.23905496092156472,0.44291609353507566,1.3032858704366892,0.2938744595813705,0.4839537869062901,1.2439430118748183
Utah State,Mountain West,0.23786858649827106,0.4558645707376058,1.258049064379024,0.26184613515737554,0.46551724137931033,1.2187265715846112
Tennessee,SEC,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.05028496459565216,0.3606755126658625,1.2481620356467935
